,0,1,2,3,4,5
65,-67.0,-71.0,-74.0,-61.0,62.00610880147587,25.509917202241997
66,-73.0,-75.0,-93.0,-69.0,62.437933333891976,12.1136278936232
67,-71.0,-81.0,-93.0,-77.0,38.2595904043594,35.750100525769156
68,-72.0,-93.0,-93.0,-65.0,42.95540149295085,35.91976174461068
69,-58.0,-66.0,-77.0,-60.0,47.60739048263967,36.08783965549584
70,-55.0,-62.0,-75.0,-67.0,52.22053835799327,36.25451422445532
71,-53.0,-52.0,-74.0,-58.0,56.82580437215932,36.420904019565704
72,-77.0,-93.0,-73.0,-80.0,60.79627392950945,70.11755365244841
73,-68.0,-72.0,-60.0,-93.0,60.986664834337255,66.04281151832554
74,-68.0,-63.0,-59.0,-75.0,61.179210208365014,61.921959489596674
75,-66.0,-59.0,-55.0,-71.0,61.33962047569946,58.488862316763324
76,-61.0,-93.0,-49.0,-70.0,61.466741428144815,55.76822238199829
77,-57.0,-52.0,-51.0,-68.0,61.48205326293684,55.44051881385681
78,-56.0,-66.0,-71.0,-55.0,55.71035264802091,43.26337250064313
79,-56.0,-69.0,-88.0,-64.0,54.67339258770615,42.964149212238354
80,-61.0,-68.0,-82.0,-74.0,54.30692038153741,43.55680391254581
81,-67.0,-73.0,-88.0,-73.0,53.8190217521147,43.26019260302588
82,-72.0,-77.0,-93.0,-78.0,52.922488661978775,43.291503992948165
83,-49.0,-56.0,-66.0,-51.0,56.5332421945844,43.453726596158845
84,-53.0,-53.0,-60.0,-51.0,56.60396328059274,44.05256765523302
85,-52.0,-57.0,-55.0,-63.0,56.51405682167424,45.26543926860907
86,-58.0,-62.0,-55.0,-73.0,56.429535701820356,46.22136475877582
87,-69.0,-93.0,-63.0,-93.0,56.516170947467714,49.07767331826187
